8706     4
 
(0.1483141E-01, 0.7269142E-03)  (0.5932403E-01, 0.2907092E-02)  (0.1334726E+00, 0.6538496E-02)
(0.2372668E+00, 0.1161672E-01)

-0.2455000E-01   0.6250000E-01
 0.0000000E+00   0.3500000E-01
 
(-0.1470541E-06, -0.5679129E-07)  (-0.1437002E-06, -0.6481101E-07)  (-0.1399096E-06, -0.7263379E-07)
(-0.1356939E-06, -0.8023587E-07)  (-0.1310659E-06, -0.8759415E-07)  (-0.1260397E-06, -0.9468626E-07)
(-0.1206305E-06, -0.1014907E-06)  (-0.1148547E-06, -0.1079867E-06)  (-0.1087300E-06, -0.1141546E-06)
(-0.1022749E-06, -0.1199756E-06)  (-0.9550903E-07, -0.1254321E-06)  (-0.8845297E-07, -0.1305075E-06)
(-0.8112815E-07, -0.1351863E-06)  (-0.7355682E-07, -0.1394543E-06)  (-0.6576200E-07, -0.1432986E-06)
(-0.5776736E-07, -0.1467075E-06)  (-0.4959721E-07, -0.1496706E-06)  (-0.4127635E-07, -0.1521789E-06)
(-0.3283009E-07, -0.1542249E-06)  (-0.2428407E-07, -0.1558022E-06)  (-0.1566427E-07, -0.1569061E-06)
(-0.6996885E-08, -0.1575332E-06)  (0.1691757E-08, -0.1576817E-06)  (0.1037525E-07, -0.1573511E-06)
(0.1902722E-07, -0.1565423E-06)  (0.2762136E-07, -0.1552579E-06)  (0.3613158E-07, -0.1535018E-06)
(0.4453200E-07, -0.1512792E-06)  (0.5279710E-07, -0.1485970E-06)  (0.6090177E-07, -0.1454632E-06)
(0.6882139E-07, -0.1418875E-06)  (0.7653189E-07, -0.1378806E-06)  (0.8400984E-07, -0.1334548E-06)
(0.9123252E-07, -0.1286235E-06)  (0.9817799E-07, -0.1234014E-06)  (0.1048251E-06, -0.1178043E-06)
(0.1111538E-06, -0.1118493E-06)  (0.1171446E-06, -0.1055544E-06)  (0.1227796E-06, -0.9893880E-07)
(0.1280414E-06, -0.9202258E-07)  (0.1329143E-06, -0.8482675E-07)  (0.1373832E-06, -0.7737318E-07)
(0.1414347E-06, -0.6968451E-07)  (0.1450564E-06, -0.6178411E-07)  (0.1482374E-06, -0.5369598E-07)
(0.1509680E-06, -0.4544471E-07)  (0.1532398E-06, -0.3705535E-07)  (0.1550461E-06, -0.2855341E-07)
(0.1563812E-06, -0.1996471E-07)  (0.1572411E-06, -0.1131536E-07)  (0.1576233E-06, -0.2631628E-08)
(0.1575265E-06, 0.6060093E-08)  (0.1569511E-06, 0.1473339E-07)  (0.1558988E-06, 0.2336192E-07)
(0.1543728E-06, 0.3191946E-07)  (0.1523777E-06, 0.4038001E-07)  (0.1499196E-06, 0.4871785E-07)
(0.1470060E-06, 0.5690766E-07)  (0.1436457E-06, 0.6492455E-07)  (0.1398490E-06, 0.7274416E-07)
(0.1356273E-06, 0.8034273E-07)  (0.1309935E-06, 0.8769717E-07)  (0.1259617E-06, 0.9478514E-07)
(0.1205472E-06, 0.1015851E-06)  (0.1147663E-06, 0.1080764E-06)  (0.1086368E-06, 0.1142393E-06)
(0.1021772E-06, 0.1200551E-06)  (0.9540710E-07, 0.1255060E-06)  (0.8834712E-07, 0.1305757E-06)
(0.8101871E-07, 0.1352485E-06)  (0.7344412E-07, 0.1395104E-06)  (0.6564638E-07, 0.1433484E-06)
(0.5764918E-07, 0.1467509E-06)  (0.4947681E-07, 0.1497074E-06)  (0.4115411E-07, 0.1522090E-06)
(0.3270638E-07, 0.1542482E-06)  (0.2415927E-07, 0.1558187E-06)  (0.1553875E-07, 0.1569157E-06)
(0.6871028E-08, 0.1575359E-06)  (-0.1817567E-08, 0.1576774E-06)  (-0.1050063E-07, 0.1573399E-06)
(-0.1915179E-07, 0.1565242E-06)  (-0.2774474E-07, 0.1552330E-06)  (-0.3625339E-07, 0.1534701E-06)
(-0.4465188E-07, 0.1512408E-06)  (-0.5291468E-07, 0.1485520E-06)  (-0.6101670E-07, 0.1454119E-06)
(-0.6893332E-07, 0.1418299E-06)  (-0.7664047E-07, 0.1378169E-06)  (-0.8411474E-07, 0.1333853E-06)
(-0.9133343E-07, 0.1285483E-06)  (-0.9827460E-07, 0.1233207E-06)  (-0.1049171E-06, 0.1177184E-06)
(-0.1112409E-06, 0.1117584E-06)  (-0.1172267E-06, 0.1054589E-06)  (-0.1228562E-06, 0.9883892E-07)
(-0.1281124E-06, 0.9191862E-07)  (-0.1329794E-06, 0.8471903E-07)  (-0.1374423E-06, 0.7726203E-07)
(-0.1414876E-06, 0.6957027E-07)  (-0.1451030E-06, 0.6166713E-07)  (-0.1482774E-06, 0.5357661E-07)
(-0.1510014E-06, 0.4532331E-07)  (-0.1532665E-06, 0.3693230E-07)  (-0.1550659E-06, 0.2842907E-07)
(-0.1563941E-06, 0.1983947E-07)  (-0.1572471E-06, 0.1118959E-07)  (-0.1576224E-06, 0.2505714E-08)
(-0.1575187E-06, -0.6185767E-08)  (-0.1569363E-06, -0.1485845E-07)  (-0.1558772E-06, -0.2348597E-07)
(-0.1543443E-06, -0.3204213E-07)  (-0.1523425E-06, -0.4050093E-07)  (-0.1498779E-06, -0.4883665E-07)
(-0.1469578E-06, -0.5702398E-07)  (-0.1435912E-06, -0.6503804E-07)  (-0.1397882E-06, -0.7285447E-07)
(-0.1355606E-06, -0.8044953E-07)  (-0.1309210E-06, -0.8780014E-07)  (-0.1258836E-06, -0.9488396E-07)
(-0.1204638E-06, -0.1016795E-06)  (-0.1146779E-06, -0.1081660E-06)  (-0.1085436E-06, -0.1143239E-06)
(-0.1020794E-06, -0.1201344E-06)  (-0.9530511E-07, -0.1255799E-06)  (-0.8824123E-07, -0.1306438E-06)
(-0.8090922E-07, -0.1353107E-06)  (-0.7333138E-07, -0.1395665E-06)  (-0.6553073E-07, -0.1433982E-06)
(-0.5753096E-07, -0.1467942E-06)  (-0.4935639E-07, -0.1497441E-06)  (-0.4103186E-07, -0.1522391E-06)
(-0.3258265E-07, -0.1542714E-06)  (-0.2403445E-07, -0.1558350E-06)  (-0.1541322E-07, -0.1569251E-06)
(-0.6745172E-08, -0.1575384E-06)  (0.1943370E-08, -0.1576730E-06)  (0.1062600E-07, -0.1573285E-06)
(0.1927634E-07, -0.1565060E-06)  (0.2786810E-07, -0.1552079E-06)  (0.3637518E-07, -0.1534382E-06)
(0.4477173E-07, -0.1512023E-06)  (0.5303223E-07, -0.1485070E-06)  (0.6113159E-07, -0.1453604E-06)
(0.6904519E-07, -0.1417722E-06)  (0.7674899E-07, -0.1377532E-06)  (0.8421959E-07, -0.1333156E-06)
(0.9143428E-07, -0.1284729E-06)  (0.9837114E-07, -0.1232399E-06)  (0.1050091E-06, -0.1176324E-06)
(0.1113280E-06, -0.1116675E-06)  (0.1173086E-06, -0.1053633E-06)  (0.1229327E-06, -0.9873897E-07)
(0.1281834E-06, -0.9181460E-07)  (0.1330445E-06, -0.8461126E-07)  (0.1375014E-06, -0.7715084E-07)
(0.1415404E-06, -0.6945599E-07)  (0.1451494E-06, -0.6155011E-07)  (0.1483174E-06, -0.5345721E-07)
(0.1510347E-06, -0.4520189E-07)  (0.1532930E-06, -0.3680922E-07)  (0.1550856E-06, -0.2830472E-07)
(0.1564070E-06, -0.1971421E-07)  (0.1572531E-06, -0.1106381E-07)  (0.1576214E-06, -0.2379804E-08)
(0.1575107E-06, 0.6311433E-08)  (0.1569215E-06, 0.1498349E-07)  (0.1558554E-06, 0.2361001E-07)
(0.1543158E-06, 0.3216478E-07)  (0.1523073E-06, 0.4062182E-07)  (0.1498360E-06, 0.4895542E-07)
(0.1469095E-06, 0.5714027E-07)  (0.1435365E-06, 0.6515148E-07)  (0.1397274E-06, 0.7296473E-07)
(0.1354938E-06, 0.8055627E-07)  (0.1308484E-06, 0.8790304E-07)  (0.1258055E-06, 0.9498270E-07)
(0.1203803E-06, 0.1017738E-06)  (0.1145894E-06, 0.1082556E-06)  (0.1084503E-06, 0.1144084E-06)
(0.1019816E-06, 0.1202137E-06)  (0.9520307E-07, 0.1256536E-06)  (0.8813528E-07, 0.1307118E-06)
(0.8079969E-07, 0.1353728E-06)  (0.7321860E-07, 0.1396224E-06)  (0.6541503E-07, 0.1434478E-06)
(0.5741271E-07, 0.1468374E-06)  (0.4923594E-07, 0.1497807E-06)  (0.4090957E-07, 0.1522690E-06)
(0.3245891E-07, 0.1542946E-06)  (0.2390962E-07, 0.1558513E-06)  (0.1528769E-07, 0.1569345E-06)
(0.6619315E-08, 0.1575409E-06)  (-0.2069168E-08, 0.1576685E-06)  (-0.1075136E-07, 0.1573171E-06)
(-0.1940088E-07, 0.1564877E-06)  (-0.2799144E-07, 0.1551828E-06)  (-0.3649694E-07, 0.1534063E-06)
(-0.4489154E-07, 0.1511638E-06)  (-0.5314974E-07, 0.1484619E-06)  (-0.6124643E-07, 0.1453089E-06)
(-0.6915702E-07, 0.1417144E-06)  (-0.7685747E-07, 0.1376893E-06)  (-0.8432438E-07, 0.1332459E-06)
(-0.9153507E-07, 0.1283975E-06)  (-0.9846762E-07, 0.1231591E-06)  (-0.1051010E-06, 0.1175464E-06)
(-0.1114151E-06, 0.1115767E-06)  (-0.1173910E-06, 0.1052683E-06)  (-0.1230106E-06, 0.9864038E-07)
(-0.1282571E-06, 0.9171329E-07)  (-0.1331147E-06, 0.8450812E-07)  (-0.1375688E-06, 0.7704682E-07)
(-0.1416062E-06, 0.6935211E-07)  (-0.1452147E-06, 0.6144738E-07)  (-0.1483837E-06, 0.5335666E-07)
(-0.1511037E-06, 0.4510451E-07)  (-0.1533667E-06, 0.3671594E-07)  (-0.1551660E-06, 0.2821638E-07)
(-0.1564965E-06, 0.1963156E-07)  (-0.1573542E-06, 0.1098745E-07)  (-0.1577369E-06, 0.2310168E-08)
(-0.1576435E-06, -0.6374080E-08)  (-0.1570745E-06, -0.1503909E-07)  (-0.1560319E-06, -0.2365875E-07)
(-0.1545190E-06, -0.3220709E-07)  (-0.1525405E-06, -0.4065839E-07)  (-0.1501027E-06, -0.4898724E-07)
(-0.1472130E-06, -0.5716862E-07)  (-0.1438804E-06, -0.6517798E-07)  (-0.1401150E-06, -0.7299130E-07)
(-0.1359283E-06, -0.8058517E-07)  (-0.1313332E-06, -0.8793686E-07)  (-0.1263436E-06, -0.9502441E-07)
(-0.1209747E-06, -0.1018266E-06)  (-0.1152427E-06, -0.1083233E-06)  (-0.1091649E-06, -0.1144949E-06)
(-0.1027599E-06, -0.1203233E-06)  (-0.9604680E-07, -0.1257909E-06)  (-0.8904597E-07, -0.1308817E-06)
(-0.8177848E-07, -0.1355806E-06)  (-0.7426620E-07, -0.1398736E-06)  (-0.6653171E-07, -0.1437480E-06)
(-0.5859824E-07, -0.1471926E-06)  (-0.5048960E-07, -0.1501971E-06)  (-0.4223008E-07, -0.1527527E-06)
(-0.3384444E-07, -0.1548522E-06)  (-0.2535775E-07, -0.1564892E-06)  (-0.1679539E-07, -0.1576593E-06)
(-0.8182940E-08, -0.1583591E-06)  (0.4539062E-09, -0.1585867E-06)  (0.9089394E-08, -0.1583416E-06)
(0.1769780E-07, -0.1576248E-06)  (0.2625350E-07, -0.1564387E-06)  (0.3473104E-07, -0.1547869E-06)
(0.4310526E-07, -0.1526746E-06)  (0.5135128E-07, -0.1501083E-06)  (0.5944465E-07, -0.1470957E-06)
(0.6736139E-07, -0.1436462E-06)  (0.7507807E-07, -0.1397700E-06)  (0.8257186E-07, -0.1354788E-06)
(0.8982063E-07, -0.1307857E-06)  (0.9680300E-07, -0.1257047E-06)  (0.1034984E-06, -0.1202510E-06)
(0.1098870E-06, -0.1144410E-06)  (0.1159502E-06, -0.1082920E-06)  (0.1216701E-06, -0.1018223E-06)
(0.1270299E-06, -0.9505136E-07)  (0.1320139E-06, -0.8799924E-07)  (0.1366076E-06, -0.8068693E-07)
(0.1407975E-06, -0.7313615E-07)  (0.1445716E-06, -0.6536933E-07)  (0.1479187E-06, -0.5740949E-07)
(0.1508292E-06, -0.4928021E-07)  (0.1532948E-06, -0.4100555E-07)  (0.1553083E-06, -0.3260998E-07)
(0.1568640E-06, -0.2411830E-07)  (0.1579576E-06, -0.1555556E-07)  (0.1585861E-06, -0.6947026E-08)
(0.1587477E-06, 0.1681956E-08)  (0.1584423E-06, 0.1030598E-07)  (0.1576708E-06, 0.1889970E-07)
(0.1564360E-06, 0.2743785E-07)  (0.1547414E-06, 0.3589537E-07)  (0.1525924E-06, 0.4424747E-07)
(0.1499955E-06, 0.5246967E-07)  (0.1469584E-06, 0.6053791E-07)  (0.1434904E-06, 0.6842859E-07)
(0.1396016E-06, 0.7611866E-07)  (0.1353039E-06, 0.8358568E-07)  (0.1306098E-06, 0.9080788E-07)
(0.1255333E-06, 0.9776423E-07)  (0.1200896E-06, 0.1044345E-06)  (0.1142945E-06, 0.1107993E-06)
(0.1081653E-06, 0.1168401E-06)  (0.1017201E-06, 0.1225396E-06)  (0.9497773E-07, 0.1278811E-06)
(0.8795807E-07, 0.1328492E-06)  (0.8068174E-07, 0.1374296E-06)  (0.7317008E-07, 0.1416092E-06)
(0.6544509E-07, 0.1453759E-06)  (0.5752938E-07, 0.1487190E-06)  (0.4944611E-07, 0.1516288E-06)
(0.4121887E-07, 0.1540972E-06)  (0.3287169E-07, 0.1561171E-06)  (0.2442890E-07, 0.1576829E-06)
(0.1591508E-07, 0.1587903E-06)  (0.7355020E-08, 0.1594362E-06)  (-0.1226400E-08, 0.1596189E-06)
(-0.9804254E-08, 0.1593382E-06)  (-0.1835365E-07, 0.1585951E-06)  (-0.2684980E-07, 0.1573919E-06)
(-0.3526809E-07, 0.1557324E-06)  (-0.4358418E-07, 0.1536216E-06)  (-0.5177400E-07, 0.1510658E-06)
(-0.5981392E-07, 0.1480726E-06)  (-0.6768073E-07, 0.1446509E-06)  (-0.7535175E-07, 0.1408107E-06)
(-0.8280491E-07, 0.1365635E-06)  (-0.9001876E-07, 0.1319215E-06)  (-0.9697258E-07, 0.1268986E-06)
(-0.1036464E-06, 0.1215092E-06)  (-0.1100211E-06, 0.1157692E-06)  (-0.1160785E-06, 0.1096952E-06)
(-0.1218012E-06, 0.1033050E-06)  (-0.1271728E-06, 0.9661705E-07)  (-0.1321782E-06, 0.8965083E-07)
(-0.1368030E-06, 0.8242650E-07)  (-0.1410341E-06, 0.7496498E-07)  (-0.1448595E-06, 0.6728783E-07)
(-0.1482685E-06, 0.5941723E-07)  (-0.1512514E-06, 0.5137590E-07)  (-0.1537998E-06, 0.4318701E-07)
(-0.1559068E-06, 0.3487413E-07)  (-0.1575663E-06, 0.2646119E-07)  (-0.1587739E-06, 0.1797236E-07)
(-0.1595263E-06, 0.9432009E-08)  (-0.1598216E-06, 0.8646379E-09)  (-0.1596592E-06, -0.7705204E-08)
(-0.1590397E-06, -0.1625298E-07)  (-0.1579651E-06, -0.2475425E-07)  (-0.1564388E-06, -0.3318471E-07)
(-0.1544652E-06, -0.4152031E-07)  (-0.1520503E-06, -0.4973727E-07)  (-0.1492012E-06, -0.5781218E-07)
(-0.1459262E-06, -0.6572206E-07)  (-0.1422349E-06, -0.7344442E-07)  (-0.1381379E-06, -0.8095733E-07)
(-0.1336472E-06, -0.8823948E-07)  (-0.1287758E-06, -0.9527023E-07)  (-0.1235376E-06, -0.1020297E-06)
(-0.1179478E-06, -0.1084987E-06)  (-0.1120225E-06, -0.1146591E-06)  (-0.1057787E-06, -0.1204935E-06)
(-0.9923422E-07, -0.1259853E-06)  (-0.9240785E-07, -0.1311193E-06)  (-0.8531911E-07, -0.1358810E-06)
(-0.7798825E-07, -0.1402571E-06)  (-0.7043617E-07, -0.1442353E-06)  (-0.6268439E-07, -0.1478046E-06)
(-0.5475498E-07, -0.1509550E-06)  (-0.4667049E-07, -0.1536779E-06)  (-0.3845388E-07, -0.1559656E-06)
(-0.3012846E-07, -0.1578121E-06)  (-0.2171784E-07, -0.1592122E-06)  (-0.1324583E-07, -0.1601622E-06)
(-0.4736398E-08, -0.1606597E-06)  (0.3786405E-08, -0.1607035E-06)  (0.1229851E-07, -0.1602937E-06)
(0.2077592E-07, -0.1594316E-06)  (0.2919473E-07, -0.1581199E-06)  (0.3753125E-07, -0.1563626E-06)
(0.4576203E-07, -0.1541648E-06)  (0.5386395E-07, -0.1515328E-06)  (0.6181428E-07, -0.1484745E-06)
(0.6959072E-07, -0.1449984E-06)  (0.7717149E-07, -0.1411147E-06)  (0.8453539E-07, -0.1368344E-06)
(0.9166184E-07, -0.1321698E-06)  (0.9853096E-07, -0.1271342E-06)  (0.1051236E-06, -0.1217418E-06)
(0.1114214E-06, -0.1160080E-06)  (0.1174069E-06, -0.1099490E-06)  (0.1230634E-06, -0.1035819E-06)
(0.1283753E-06, -0.9692481E-07)  (0.1333278E-06, -0.8999641E-07)  (0.1379074E-06, -0.8281623E-07)
(0.1421013E-06, -0.7540450E-07)  (0.1458981E-06, -0.6778203E-07)  (0.1492874E-06, -0.5997023E-07)
(0.1522598E-06, -0.5199099E-07)  (0.1548074E-06, -0.4386668E-07)  (0.1569232E-06, -0.3562003E-07)
(0.1586015E-06, -0.2727408E-07)  (0.1598379E-06, -0.1885214E-07)  (0.1606291E-06, -0.1037770E-07)
(0.1609733E-06, -0.1874389E-08)  (0.1608696E-06, 0.6634135E-08)  (0.1603186E-06, 0.1512421E-07)
(0.1593220E-06, 0.2357224E-07)  (0.1578828E-06, 0.3195478E-07)  (0.1560053E-06, 0.4024860E-07)
(0.1536948E-06, 0.4843072E-07)  (0.1509581E-06, 0.5647851E-07)  (0.1478029E-06, 0.6436972E-07)
(0.1442382E-06, 0.7208258E-07)  (0.1402740E-06, 0.7959580E-07)  (0.1359215E-06, 0.8688871E-07)
(0.1311930E-06, 0.9394122E-07)  (0.1261018E-06, 0.1007340E-06)  (0.1206621E-06, 0.1072483E-06)
(0.1148890E-06, 0.1134664E-06)  (0.1087988E-06, 0.1193713E-06)  (0.1024084E-06, 0.1249467E-06)
(0.9573550E-07, 0.1301775E-06)  (0.8879873E-07, 0.1350495E-06)  (0.8161730E-07, 0.1395494E-06)
(0.7421114E-07, 0.1436651E-06)  (0.6660073E-07, 0.1473853E-06)  (0.5880711E-07, 0.1507000E-06)
(0.5085182E-07, 0.1536005E-06)  (0.4275678E-07, 0.1560788E-06)  (0.3454432E-07, 0.1581284E-06)
(0.2623704E-07, 0.1597440E-06)  (0.1785778E-07, 0.1609213E-06)  (0.9429546E-08, 0.1616573E-06)
(0.9754767E-09, 0.1619502E-06)  (-0.7481259E-08, 0.1617994E-06)  (-0.1591750E-07, 0.1612057E-06)
(-0.2431019E-07, 0.1601708E-06)  (-0.3263637E-07, 0.1586978E-06)  (-0.4087333E-07, 0.1567910E-06)
(-0.4899861E-07, 0.1544558E-06)  (-0.5699009E-07, 0.1516989E-06)  (-0.6482601E-07, 0.1485279E-06)
(-0.7248508E-07, 0.1449517E-06)  (-0.7994652E-07, 0.1409803E-06)  (-0.8719011E-07, 0.1366248E-06)
(-0.9419621E-07, 0.1318971E-06)  (-0.1009459E-06, 0.1268104E-06)  (-0.1074209E-06, 0.1213787E-06)
(-0.1136039E-06, 0.1156170E-06)  (-0.1194780E-06, 0.1095410E-06)  (-0.1250277E-06, 0.1031675E-06)
(-0.1302379E-06, 0.9651385E-07)  (-0.1350946E-06, 0.8959836E-07)  (-0.1395850E-06, 0.8243989E-07)
(-0.1436971E-06, 0.7505795E-07)  (-0.1474198E-06, 0.6747269E-07)  (-0.1507434E-06, 0.5970473E-07)
(-0.1536591E-06, 0.5177521E-07)  (-0.1561591E-06, 0.4370565E-07)  (-0.1582370E-06, 0.3551796E-07)
(-0.1598873E-06, 0.2723430E-07)  (-0.1611059E-06, 0.1887710E-07)  (-0.1618897E-06, 0.1046896E-07)
(-0.1622368E-06, 0.2032591E-08)  (-0.1621465E-06, -0.6409255E-08)  (-0.1616192E-06, -0.1483383E-07)
(-0.1606568E-06, -0.2321844E-07)  (-0.1592619E-06, -0.3154055E-07)  (-0.1574385E-06, -0.3977781E-07)
(-0.1551918E-06, -0.4790811E-07)  (-0.1525281E-06, -0.5590967E-07)  (-0.1494548E-06, -0.6376105E-07)
(-0.1459802E-06, -0.7144128E-07)  (-0.1421141E-06, -0.7892983E-07)  (-0.1378668E-06, -0.8620674E-07)
(-0.1332501E-06, -0.9325261E-07)  (-0.1282765E-06, -0.1000487E-06)  (-0.1229595E-06, -0.1065770E-06)
(-0.1173135E-06, -0.1128201E-06)  (-0.1113538E-06, -0.1187615E-06)  (-0.1050965E-06, -0.1243855E-06)
(-0.9855848E-07, -0.1296772E-06)  (-0.9175736E-07, -0.1346228E-06)  (-0.8471142E-07, -0.1392092E-06)
(-0.7743958E-07, -0.1434243E-06)  (-0.6996136E-07, -0.1472571E-06)  (-0.6229678E-07, -0.1506978E-06)
(-0.5446635E-07, -0.1537372E-06)  (-0.4649101E-07, -0.1563675E-06)  (-0.3839204E-07, -0.1585820E-06)
(-0.3019103E-07, -0.1603750E-06)  (-0.2190983E-07, -0.1617420E-06)  (-0.1357047E-07, -0.1626796E-06)
(-0.5195102E-08, -0.1631856E-06)  (0.3194034E-08, -0.1632587E-06)  (0.1157470E-07, -0.1628992E-06)
(0.1992469E-07, -0.1621082E-06)  (0.2822194E-07, -0.1608880E-06)  (0.3644450E-07, -0.1592420E-06)
(0.4457067E-07, -0.1571750E-06)  (0.5257904E-07, -0.1546926E-06)  (0.6044852E-07, -0.1518015E-06)
(0.6815840E-07, -0.1485097E-06)  (0.7568844E-07, -0.1448260E-06)  (0.8301888E-07, -0.1407604E-06)
(0.9013051E-07, -0.1363238E-06)  (0.9700473E-07, -0.1315282E-06)  (0.1036236E-06, -0.1263862E-06)
(0.1099698E-06, -0.1209118E-06)  (0.1160268E-06, -0.1151194E-06)  (0.1217788E-06, -0.1090245E-06)
(0.1272110E-06, -0.1026432E-06)  (0.1323093E-06, -0.9599245E-07)  (0.1370604E-06, -0.8908987E-07)
(0.1414522E-06, -0.8195369E-07)  (0.1454732E-06, -0.7460274E-07)  (0.1491132E-06, -0.6705641E-07)
(0.1523629E-06, -0.5933455E-07)  (0.1552140E-06, -0.5145747E-07)  (0.1576593E-06, -0.4344586E-07)
(0.1596926E-06, -0.3532072E-07)  (0.1613088E-06, -0.2710335E-07)  (0.1625040E-06, -0.1881523E-07)
(0.1632753E-06, -0.1047805E-07)  (0.1636209E-06, -0.2113547E-08)  (0.1635401E-06, 0.6256454E-08)
(0.1630336E-06, 0.1461016E-07)  (0.1621027E-06, 0.2292583E-07)  (0.1607501E-06, 0.3118186E-07)
(0.1589797E-06, 0.3935683E-07)  (0.1567963E-06, 0.4742955E-07)  (0.1542057E-06, 0.5537911E-07)
(0.1512149E-06, 0.6318495E-07)  (0.1478320E-06, 0.7082691E-07)  (0.1440659E-06, 0.7828529E-07)
(0.1399266E-06, 0.8554086E-07)  (0.1354251E-06, 0.9257497E-07)  (0.1305731E-06, 0.9936954E-07)
(0.1253836E-06, 0.1059071E-06)  (0.1198699E-06, 0.1121710E-06)  (0.1140467E-06, 0.1181452E-06)
(0.1079290E-06, 0.1238144E-06)  (0.1015330E-06, 0.1291641E-06)  (0.9487511E-07, 0.1341809E-06)
(0.8797279E-07, 0.1388518E-06)  (0.8084391E-07, 0.1431652E-06)  (0.7350698E-07, 0.1471101E-06)
(0.6598097E-07, 0.1506766E-06)  (0.5828534E-07, 0.1538558E-06)  (0.5043998E-07, 0.1566396E-06)
(0.4246511E-07, 0.1590213E-06)  (0.3438128E-07, 0.1609949E-06)  (0.2620928E-07, 0.1625556E-06)
(0.1797010E-07, 0.1636997E-06)  (0.9684908E-08, 0.1644245E-06)  (0.1374923E-08, 0.1647283E-06)
(-0.6938573E-08, 0.1646107E-06)  (-0.1523432E-07, 0.1640721E-06)  (-0.2349113E-07, 0.1631143E-06)
(-0.3168795E-07, 0.1617400E-06)  (-0.3980388E-07, 0.1599528E-06)  (-0.4781827E-07, 0.1577576E-06)
(-0.5571076E-07, 0.1551603E-06)  (-0.6346131E-07, 0.1521676E-06)  (-0.7105026E-07, 0.1487875E-06)
(-0.7845842E-07, 0.1450288E-06)  (-0.8566704E-07, 0.1409013E-06)  (-0.9265793E-07, 0.1364157E-06)
(-0.9941347E-07, 0.1315836E-06)  (-0.1059166E-06, 0.1264175E-06)  (-0.1121511E-06, 0.1209307E-06)
(-0.1181012E-06, 0.1151372E-06)  (-0.1237521E-06, 0.1090521E-06)  (-0.1290896E-06, 0.1026907E-06)
